Device : ;PAX1000IR2/M
Serial Number : ;M00773008
Firmware Version : ;1.2.1
Software Version : ;1.4.2002.183
Wavelength [nm] : ;1560
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-02-20 13:28:41.92;0.00:00:12:712;0.92;0.07;0.38;0.164;0.1935;0.01495;0.0804;2.21;11.25;128.05;49.02;118.30;0.164;0.21;-0.04601;-7.851;-6.777;-99.990;0.96;79.47;
2025-02-20 13:28:42.17;0.00:00:12:966;0.89;0.15;0.44;0.1894;0.1663;0.02775;0.08291;4.74;13.09;99.21;43.78;89.02;0.1894;0.1879;0.0015;-7.227;-7.261;-28.238;0.94;71.50;
2025-02-20 13:28:42.43;0.00:00:13:221;0.83;0.00;0.56;0.1822;0.1629;-6.409E-05;0.109;-0.01;16.90;107.61;59.86;89.43;0.1822;0.196;-0.01387;-7.395;-7.077;-99.990;0.92;90.03;
2025-02-20 13:28:42.68;0.00:00:13:474;0.77;0.13;0.62;0.1725;0.1577;0.0273;0.1266;4.91;19.17;118.32;73.41;92.80;0.1725;0.2041;-0.0316;-7.633;-6.902;-99.990;0.89;77.83;
2025-02-20 13:28:42.93;0.00:00:13:729;0.78;-0.01;0.63;0.201;0.1361;-0.00214;0.1106;-0.45;19.55;87.24;55.01;67.70;0.201;0.1754;0.02566;-6.967;-7.560;-15.907;0.89;91.11;
2025-02-20 13:28:43.19;0.00:00:13:986;0.81;0.11;0.58;0.1783;0.1587;0.02215;0.1144;3.97;17.77;110.43;64.18;89.87;0.1783;0.1969;-0.0186;-7.489;-7.058;-99.990;0.90;79.04;
2025-02-20 13:28:43.44;0.00:00:14:240;0.82;0.05;0.57;0.2055;0.1402;0.009196;0.09875;1.88;17.55;83.60;48.06;68.40;0.2055;0.1718;0.03369;-6.873;-7.651;-14.724;0.91;84.68;
2025-02-20 13:28:43.70;0.00:00:14:496;0.81;0.09;0.58;0.1733;0.1648;0.01799;0.1168;3.12;17.59;117.00;67.40;95.64;0.1733;0.2028;-0.02947;-7.611;-6.929;-99.990;0.91;81.25;
2025-02-20 13:28:43.96;0.00:00:14:752;0.77;0.20;0.60;0.1876;0.147;0.03832;0.1148;7.31;18.54;101.44;61.17;80.93;0.1876;0.1904;-0.00271;-7.267;-7.204;-99.990;0.89;71.54;
2025-02-20 13:28:44.21;0.00:00:15:008;0.75;0.03;0.66;0.188;0.1443;0.005042;0.1254;1.00;20.49;101.71;66.69;76.79;0.188;0.1912;-0.00321;-7.259;-7.186;-99.990;0.88;87.70;
2025-02-20 13:28:44.47;0.00:00:15:261;0.72;0.20;0.66;0.1945;0.1329;0.03667;0.1218;7.72;20.73;94.57;62.62;70.87;0.1945;0.1839;0.01056;-7.111;-7.353;-19.764;0.86;73.24;
2025-02-20 13:28:44.72;0.00:00:15:516;0.75;0.02;0.66;0.2017;0.1321;0.004096;0.1163;0.89;20.68;87.30;57.68;65.53;0.2017;0.1761;0.02561;-6.954;-7.544;-15.915;0.88;87.98;
